ScopeItem,ActivityTitle,HasMetadata,QuestionText,QuestionQuality,ThinkAboutQuality,ModulesCorrect,ConfigReadable,MasterDataComplete,EffortAppropriate,DomainSpecific,JargonFree,Answerable
"J60","Additional Information",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: Define Payment Medium Format Variants (Optional)",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: BRF+ Settings for Payment Advice",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: BRF+ Settings for Supplier Balance Confirmation",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: BRF+ Settings for Item Interest Calculation",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: BRF+ Settings for Payment List",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: Add Fields to Items (Optional)",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps: Maintain Business Users",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps for eDocument Process: Maintain Business Partner Master Data",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Preliminary Steps for eDocument Process: Maintain Company Code Data",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
