# provenance
# target	companion to availability-ph.tsv — scope items aptus holds for which the 2608 Availability & Dependencies export publishes NO row, and therefore no Philippine availability
# source_file	union of sap-references/2608/Availability_Dependencies_EN_XX.xlsx (Scope + Retired sheets) and BP_CLD_ENTPR_2608_Process-Steps_EN_XX.xlsx (Scope sheet)
# date_read	2026-09-07
# completeness	complete for those sources
# why_this_file	"no published PH availability" and "nobody looked" are different facts. These 145 codes are the first.
scope_item_id	in_retired_list	in_process_steps
19C	Y	
19O	Y	
19W	Y	
1A0	Y	
1GI	Y	
1I5	Y	
1I7	Y	
1IH	Y	
1J7	Y	
1JB	Y	
1JR	Y	
1K8	Y	
1KC	Y	
1KS	Y	
1KU	Y	
1KW	Y	
1L2	Y	
1LE	Y	
1MZ	Y	
1N9	Y	
1NF	Y	
1NR	Y	
1NX	Y	
1QA	Y	
1QC	Y	
1QG	Y	
1QI	Y	
1QR	Y	
1R3	Y	
1R5	Y	
1RW	Y	
1UG	Y	
1VG	Y	
1ZI	Y	
1ZM	Y	
21T	Y	
22R	Y	
23D	Y	
23L	Y	
23T	Y	
2AP	Y	
2G4	Y	
2G5	Y	
2G6	Y	
2JB	Y	
2JD	Y	
2JN	Y	
2M0	Y	
2MV	Y	
2PL	Y	
2PT	Y	
2QS	Y	
2QU	Y	
2QW	Y	
2RP	Y	
2TU	Y	
2TV	Y	
2TY	Y	
2V2	Y	
2V8	Y	
2WK	Y	
2XV	Y	
2XW	Y	
2XX	Y	
2Y7	Y	
2YC	Y	
2YZ	Y	
30K	Y	
30W	Y	
35Q	Y	
3AF	Y	
3DT	Y	
3EP	Y	
3FY	Y	
3J8	Y	
3JK	Y	
3JP	Y	
3L1	Y	
3LO	Y	
3LP	Y	
3LX	Y	
3ND	Y	
3NE	Y	
3NF	Y	
3TQ	Y	
3UH	Y	
3YE	Y	
41G	Y	
42M	Y	
43A	Y	
43E	Y	
47J	Y	
48U	Y	
4AF	Y	
4AG	Y	
4AJ	Y	
4AV	Y	
4DN	Y	
4IH	Y	
4LG	Y	
4MO	Y	
4O0	Y	
4ON	Y	
4RD	Y	
4RI	Y	
4VB	Y	
56E	Y	
56Y	Y	
5IT	Y	
5L6	Y	
5NM	Y	
5ON	Y	
5OS	Y	
5QC	Y	
5VV	Y	
5W6	Y	
5XC	Y	
5XD	Y	
5YA	Y	
62R	Y	
64A	Y	
64B	Y	
64C	Y	
6B2	Y	
6B3	Y	
6B4	Y	
6BG	Y	
6BH	Y	
6NL	Y	
6OT	Y	
6V1	Y	
6VB	Y	
6W9	Y	
6X6	Y	
7ZH	Y	
BEI	Y	
BEV	Y	
BGC	Y	
BGG	Y	
BGI	Y	
BGJ	Y	
BH5	Y	
BKN	Y	
LOB		Y
SVC		Y
