# provenance
# target	companion to target 2 — Philippine WITHHOLDING tax codes and their published rates
# why_this_file	the brief's rule "do not normalise across countries — if SAP's PH source has a column the MY one lacks, keep it and name it". SAP publishes Philippine withholding tax codes WITH a rate column, which the VAT tax-code table does not have. Discarding them at harvest time would lose them.
# source_urls	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
# source_title	SAP S/4HANA Cloud Public Edition 2608 > Philippines > "Withholding Tax Codes" (2 tables)
# access_method	anonymous read of help.sap.com's published content service. No login, no scraping.
# date_read	2026-09-07
# release	2608
# completeness	complete for these tables: 53 rows across 2 published tables. Floor overall — withholding tax TYPES and the type-to-code assignment are published on other topics of the same deliverable and are not in this file.
# column_source	withholding_tax_code · description · tax_rate_percent="Tax Rate (%)" · official_withholding_tax_key, all verbatim. source_topic and source_url name the exact page each row came from, because the two tables sit on different topics.
# not_claimed	these are SAP's predelivered Best Practices values for release 2608, not tax advice and not a client's configuration.
country	withholding_tax_code	description	tax_rate_percent	official_withholding_tax_key	source_topic	source_url
PH	1	Professional/talent fees paid to juridical persons	5	C010	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	2	Rentals (corporations)	5	C100	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	3	Cinematographic film rentals (corporations)	5	C110	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	4	Prime contractors/subcontractors (corporations)	1	C120	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	5	Amounts paid to certain brokers and agents (corporations)	5	C140	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	6	Payments to medical practitioners through a duly registered professional partnership	5	C141	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	7	Payments made by credit card companies to juridical persons	1.5	C156	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	8	Payments made by government offices on their local purchase of goods from juridical persons (corporations)	1	C157	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	9	Income payments made by top 5000 corporations to their local suppliers of goods (corporations)	1	C158	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	10	Professionals (lawyers, CPAs, engineers, etc.)	10	I010	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	11	Professional entertainers	10	I020	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	12	Professional athletes	10	I030	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	13	Movie, stage, radio, TV, and musical directors	10	1040	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	14	Management and technical consultants	10	I050	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	15	Business and bookkeeping agents and agencies	10	I060	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	16	Insurance agents and adjusters	10	I070	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	17	Other recipients of talent fees	10	I080	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	18	Fees of directors who are not employee of the company	10	I090	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	19	Rentals (individuals)	5	I100	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	20	Cinematographic film rentals (individuals)	5	I110	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
